분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
설치·정비·생산·전기·전자·정보통신,[장애인채용] 생산직 사원 모집(전자부품),아이피텍주식회사,신입,학력무관,,,,장애인만 채용,하체 장애인,기간의 정함이 없는 근로계약,생산직,"전자부품의 조립, 검사 및 포장",,,"(42710) 대구광역시 달서구 성서공단북로3길 25-12, 아이피텍 (파호동)",주 5일 근무 (오전) 8시 30분 ~ (오후) 5시 30분,,,,"시급 9,860원 이상 ~ 9,860원 이하",,"주로 앉아서 하는 일, 어느 정도 힘을 요함",,,053-588-6200,,~ 채용시까지,방문,,https://www.ablejob.co.kr/recruit/www.iptec.co.kr,"['지체장애(경증)', '지체장애(중증)']","['청각장애(경증)', '시각장애(경증)']",그 외 기타 전자부품 제조업,15 명,김영백,중소기업,"42710 대구광역시 달서구 성서공단북로3길 25-12, 아이피텍 (파호동)"
설치·정비·생산·기계·금속·재료,사상 및 용접 보조원,(사)꿈드래장애인협회 희망센터,신입,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 있는 근로계약 3 개월 / 계약기간 만료 후 상용직 전환 검토,사상 및 용접 보조원,,,,"(55307) 전북특별자치도 완주군 고산면 남봉신기길 6, 희망센터","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무, 평균근무시간 : 40시간",,,,"월급 2,091,440원 이상",,,"장애인용 주차장, 건물 내부 경사로, 장애인용 화장실",,063-262-6424,,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(경증)', '내부장애(경증)']","['청각장애(중증)', '시각장애(중증)']",그 외 기타 일반목적용 기계 제조업,11 명,하태복,,"55307 전북특별자치도 완주군 고산면 남봉신기길 6, 희망센터"
경영·사무·금융·보험,[에스원CRM] 단순사무업무 (카드코딩),에스원씨알엠(주),관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 12개월,단순 사무지원 (카드 발급신청 관련업무),카드 발급신청 관련 단순 사무 지원,,,(16487) 경기도 수원시 팔달구 경수대로 522 (인계동),"주 5일, (오전) 9시 00분 ~ (오후) 3시 00분",평일 25시간 근무,"자녀 학자금 지원, 주택자금 지원",,"월급 1,599,000원 이상 ~ 1,599,000원 이하, 상여금 175% (미 포함)",,,"장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실, 기타(점자블록)",경기도 수원시청,031-228-3877,,~ 2024-07-25,"이메일, 기타(자사입사지원서)",,http://www.s1crm.com/,"['지체장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)']",콜센터 및 텔레마케팅 서비스업,250 명,소재승,대기업,"16487 경기도 수원시 팔달구 경수대로 522, 에스원빌딩 4층 지원그룹 (인계동)"
미용·여행·숙박·음식·경비·돌봄·청소,[스타벅스 방화DT점] 평일(일 4시간) 차량신호수 모집,（주）삼구아이앤씨,관계없음,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 있는 근로계약(시간(선택)제) 3개월 / 계약기간 만료 후 상용직 전환 검토,차량신호수,스타벅스 방화DT점 차량 신호 및 주차 안내,,,"(07517) 서울특별시 강서구 방화동 방화대로 375, 스타벅스 방화DT","주 5일, (오전) 11:30 ~ (오후) 4:00",주 20시간,,,"월급 1,035,300원 이상 + 장애인 채용시 경증 +30만, 중증 +40만 추가 지급",3개월,,,,02-828-3881,,~ 채용시까지,워크넷 지원 및 이메일 이력서 송부,서류 합격 - 면접 - 채용,https://www.ablejob.co.kr/recruit/www.samkoo.com/,"['지체장애(경증)', '청각장애(경증)']","['시각장애(중증)', '언어장애(중증)']",상용 인력 공급 및 인사관리 서비스업,40 명,김형규,중견기업,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,[장애인만 채용] 주식회사금하테크 생산직 채용 (5명),주식회사 금하테크,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),"장갑 제조 및 포장, 사무보조",,,,"(58325) 전라남도 나주시 그린로 357, 스카이랜드 6층 (빛가람동)","주 5일 근무, 1일 9:00 ~ 12시(3시간), 9:00~14시(4시간, 점심시간 1시간 포함), 13:30 ~18시(4시간, 휴게시간 30분 포함)",근무시간은 개인의 일정에 따라 선택 및 협의가 가능합니다.,,,"시급 9,860원 이상",,,"장애인용 주차장, 건물 내부 경사로, 장애인용 화장실",,061-930-2000,,~ 채용시까지,"방문, 워크넷",,,"['지체장애(경증)', '내부장애(경증)']","['시각장애(중증)', '청각장애(중증)']",교통 신호장치 제조업,31 명,한청우,중소기업,"58325 전라남도 나주시 그린로 357, 스카이랜드 6층 (빛가람동)"
연구 및 공학기술,(주)티아이티이엔지 기술연구소 연구원 채용의 건 (장애인 지원요망),(주)티아이티이엔지,관계없음,대졸(4년)-박사,,,,장애인만 채용,"장애인증명서 제출 필요, 경증 장애인 우대, 출퇴근 가능자 우대",기간의 정함이 있는 근로계약 12개월,기술연구소 연구원,"메카설계, 펌웨어설계, 하드웨어설계",,,"서울특별시 송파구 중대로 215, 신도빌딩 5층, 6층, 7층",주 5일 (오전) 9시 00분 ~ (오후) 6시 00분,정규직 전환검토,"4대 보험 가입, 연차, 직장인 검진 실시, 질병/상해보험, 상여금, 10년 근속 포상 (금 20돈), 중식비 (월 20만원)",12개월 후 정규직 전환 가능,"연봉 36,000,000원 이상 ~ 60,000,000원 이하, 면접 후 재조정 가능",12개월,,,,02-3431-2370,saidaone@titeng.co.kr,~ 2024년 7월 19일,자유양식 이력서 및 자기소개서 / 이메일 제출,서류전형 -> 채용면접 -> 최종합격자 선발,https://www.titeng.co.kr,"['지체장애(경증)', '청각장애(경증)']","['정신장애', '지적장애']",사무용 기계 및 장비 제조업,103 명,김주연,중소기업,"05702 서울특별시 송파구 중대로 215 (가락동, 신도빌딩 5층, 6층, 7층)"
보건·의료,서울대학교치과병원 기간제근무자(장애인제한경쟁-원무직) 채용,서울대학교치과병원,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약/ 6개월,"공급, 세척 및 멸균 및 진료재료 관리 직무","수술기구 세척 및 포장, 진료재료 관리 및 배송업무, 재고자산의 취득, 검수, 입고, 출고 관리",,,"서울특별시 종로구 대학로 101, 서울대학교치과병원 (연건동)",주 5일/ 협의하여 4시간 근무,오전 반일제 (09:00 ~ 14:00) 또는 오후 반일제 (14:00 ~ 18:00) / 세부 시간은 임용 후 협의,,6개월,"월급 1,424,000원 이상 ~ 1,424,000원 이하",6개월,,"장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실",,02-6256-3492,,~ 2024-07-17,"방문, 우편, 이메일",,,"['지체장애(경증)', '지체장애(중증)', '내부장애(경증)', '내부장애(중증)']","['청각장애(경증)', '청각장애(중증)', '언어장애(경증)', '언어장애(중증)', '정신장애']",그 외 기타 보건업,583 명,이용무,기타,"03080 서울특별시 종로구 대학로 101, 서울대학교치과병원 (연건동)"
경영·사무·금융·보험,[장애인 채용] 사무보조 파트타이머 채용,스타법무법인,신입,학력무관,,,,장애인만 채용,"컴퓨터 활용능력 자격증 보유자, 6개월 이상 장기 근무 가능자",기간의 정함이 있는 근로계약(시간(선택)제) 3개월 / 계약기간 만료 후 상용직 전환 검토,사무보조,"전반적 사무보조 및 문서작성, 고객응대 및 상담예약, 법원 출장, 사무환경 개선(비품 관리)",,,"대구광역시 중구 달구벌대로 2095, 11층 스타 법무법인 (덕산동, 삼성생명 빌딩)","주 5일 근무, 요일/시간 면접 후 협의",시간제 근무,,3개월 후 평가에 따른 무기계약직 또는 정규직 전환 가능,"시급 10,000원 이상",,,,,070-8802-5068,,~ 2024-07-31,워크넷,,https://www.ablejob.co.kr/recruit/www.star-law.com,"['지체장애(경증)', '청각장애(경증)', '뇌병변장애(경증)']","['지체장애(중증)', '시각장애(중증)', '정신장애']",기타 법무관련 서비스업,126 명,최진기,중소기업,"대구광역시 중구 달구벌대로 2095 (덕산동, 삼성생명 빌딩)"
경영·사무·금융·보험,[장애인채용] 인사총무 사무 보조 담당자 모집 (근무지 : 서울특별시 강서구 마곡동),어드밴텍케이알(주),관계없음,학력무관,,,,장애인만 채용,"유관 업무 경험자 (인턴, 아르바이트)",기간의 정함이 있는 근로계약(12 개월),사무 보조,사무실 환경 관리 및 인사총무 사무 보조,,,"(07791) 서울특별시 강서구 강서로 463, 4층 (마곡동, 새싹타워)","주 5일 근무, 선택가능: (오후) 1시 00분~(오후) 6시 00분 / (오전) 9시 00분~(오후) 6시 00분",,"기타(경조휴가, 육아휴직, 출산전후휴가, 장기근속자포상, 우수사원 포상, 기념일 선물, 성과급, 문화생활비, 사내동호회운영, 건강검진)",1년 계약 (3개월 수습),"시급 10,000원 이상, 면접 후 재조정 가능",,,,,02-3660-9251,,~ 2024-09-03,"워크넷, 이메일",서류전형 > 면접전형 > 최종합격,https://www.ablejob.co.kr/recruit/www.advantech.co.kr,"['지체장애(경증)', '청각장애(경증)']","['지적장애', '정신장애']",기타 주변기기 제조업,120 명,정준교,중견기업,"07791 서울특별시 강서구 강서로 463 (마곡동, 새싹타워)"
설치·정비·생산·인쇄·목재·공예 및 제조 단순,[장애인채용] 제품조립담당자 모집 (근무지 : 인천 부평구 청천동),어드밴텍케이알(주),관계없음,학력무관,,,,장애인만 채용,"유관 업무 경험자 (인턴, 단시간근로)","기간의 정함이 있는 근로계약 (6개월), 계약기간 만료 후 상용직 전환 검토",제품조립,"보드 검사 및 조립, 포장",,,"(21314) 인천광역시 부평구 새벌로 5, 어드밴텍케이알(주) 인천 서비스센터 (청천동)","주 5일 근무 (오전) 9시 00분 ~ (오후) 6시 00분, 주 40시간",,"기타(점심 지원, 경조휴가, 육아휴직, 출산전후휴가, 장기근속자 포상, 우수사원 포상, 기념일 선물, 성과급, 문화생활비, 사내동호회 운영, 건강검진)",,"월급 2,330,000원 이상, 면접 후 재조정 가능",,,,,02-3660-9251,,~ 2024-09-03,워크넷,서류전형 > 면접전형 > 최종합격,https://www.ablejob.co.kr/recruit/www.advantech.co.kr,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",기타 주변기기 제조업,120 명,정준교,중견기업,"07791 서울특별시 강서구 강서로 463 (마곡동, 새싹타워)"
미용·여행·숙박·음식·경비·돌봄·청소,[스타벅스 남양주삼패점] 주차 관리원 모집,（주）삼구아이앤씨,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 3개월 / 계약기간 만료 후 상용직 전환 검토,차량신호수,사업장 외부 차량 신호수 업무,,,(12245) 경기도 남양주시 삼패동 경강로 384 (삼패동),"주 5일 근무, 근무시간: 12시 00분 ~ 16시 30분",,,,"월급 1,035,300원 이상, 장애인 경,중에 따른 급여 추가 지급: 경증 103.5만원 + 30만원, 중증 103.5만원 + 40만원",,외부에서 근무하는 업무,,,010-9942-8638,,~ 채용시까지,"워크넷, 이메일",,https://www.ablejob.co.kr/recruit/www.samkoo.com/,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['시각장애(중증)', '청각장애(경증)', '언어장애(경증)', '정신장애']",상용 인력 공급 및 인사관리 서비스업,40 명,김형규,중견기업,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)"
미용·여행·숙박·음식·경비·돌봄·청소,(주)포항개발 빨랫감 개기 및 세탁물 분류원 모집(장애인만 채용),(주)포항개발,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 (2개월/계약기간 만료 후 상용직 전환 검토),세탁물 분류원,"세탁물 분류, 빨래감 개는 작업, 기계 작동",,,경상북도 포항시 남구 대송면 제내길31번길 33,"주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분",,"4대보험, 퇴직금, 중식 제공",2개월 계약 후 상용직 전환 검토,"시급 9,860원 이상",2개월,,"장애인용 주차장, 장애인용 화장실",경상북도 포항시청,054-727-2026,arin5323@naver.com,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']",['정신장애'],세탁물 공급업,47 명,김종훈,중소기업,37867 경상북도 포항시 남구 대송면 제내길31번길 33
교육·법률·사회복지·경찰·소방 및 군인,[장애인만채용] 대덕구장애인자립생활센터 중증장애인 동료상담가 채용공고,대덕구장애인자립생활센터,관계없음,학력무관,,만 18~69세,,장애인만 채용,,기간의 정함이 있는 근로계약 (7개월),중증장애인 동료상담가,"중증장애인동료상담(개별·집단 상담, 자조모임 등)",동료상담가,,"(34423) 대전광역시 대덕구 계족산로36번길 27, 2층 201 (중리동, jc빌딩)","주 5일 근무, 오후 1시 30분 ~ 오후 4시 30분",,"4대보험 가입, 퇴직연금, 성과수당 지급(조건 충족시)",2024년 6월 ~ 2024년 12월 (7개월),"월급 920,000원 이상, 면접 후 조정 가능",,,,박반석,042-621-5857,ddil2008@hanmail.net,~ 채용시까지,이메일 접수 및 방문 접수,채용시까지,http://ddil.or.kr/,"['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",[],문서 작성 및 복사업,14 명,문선우,기타,"34423 대전광역시 대덕구 계족산로36번길 27, 2층 201 (중리동, jc빌딩)"
경영·사무·금융·보험,본사 경영지원팀 사무보조 계약직 채용(1명),주식회사 스포이즘,관계없음,고졸,,,,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제) 6 개월 / 계약기간 만료 후 상용직 전환 검토,사무보조,"엑셀, 한글 등 컴퓨터 활용 가능해야 하며 간단한 엑셀 정리 및 기타 사무업무 보조",,,"인천광역시 연수구 센트럴로 313, 송도 씨워크인테라스한라 B동 2116호","주 5일 근무, (오전) 9시 00분 ~ (정오) 12시 00분",시간제,,계약직 (추후 계약연장 가능),"월급 800,000원 이상 ~ 800,000원 이하",,,장애인용 주차장,,032-201-8006,,~ 채용시까지,워크넷,,https://www.ablejob.co.kr/recruit/www.spoizm.com,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['시각장애(중증)', '뇌병변장애(중증)']",그 외 기타 스포츠 서비스업,198 명,손수향,중소기업,"22006 인천광역시 연수구 센트럴로 313 (송도동, 송도씨워크인테라스한라)"
경영·사무·금융·보험,[쿠팡로지스틱스서비스] (장애인만 채용) 협력업체 선정 업무 지원 (하루 8시간 재택 근무),쿠팡로지스틱스서비스 유한회사,경력무관,고졸 졸업예정자 가능,,,,장애정도 무관,"컴퓨터활용능력 우수자, 유관업무 경험자(인턴·알바), 문서작성 우수자",계약직,협력업체 선정 업무 지원,"CLS 협력사의 안전보건 정책 서류 관리, 적격 수급업체 평가 및 정기 안전보건 평가 실시, 협력사 사업장 안전보건 Risk 평가 및 점검",면접 후 결정,면접 후 결정,재택근무,하루 8시간,,,3개월 (정규직 전환 가능),연봉 (면접 시 협의),3개월,,,홍지선,,,2024.07.12 ~ (채용 시 마감),장애인채용포털 접수,서류전형 > 면접(화상 혹은 대면) > 최종합격,,"['지체장애(경증)', '청각장애(경증)', '내부장애(경증)']","['지체장애(중증)', '청각장애(중증)', '뇌병변장애(중증)']",,,,,서울 강남구
